Squid,Los calamares,0,0
Shrimp,Los camarones,0,0
Beef,La carne de res,0,0
Sausage,El chorizo,0,0
Ham,El jamón,0,0
Fish,El pescado,0,0
Chicken,El pollo,0,0
Pork,La carne de puerco/cerdo,0,0
Sugar,Azúcar,0,0
Rice,El arroz,0,0
Tuna,El atún,0,0
Soup,La sopa,0,0
Broth,El caldo,0,0
Beans,Los frijoles,0,0
Milk,La leche,0,0
Butter,La mantequilla,0,0
Eggs,Los huevos,0,0
Cheese,El queso,0,0
Yogurt,El yogur,0,0
Flour,La harina,0,0
Bread,El pan,0,0
Pasta,La pasta,0,0
Flan (a caramel custard dessert),El flan,0,0
Ice cream,El helado,0,0
Cake,El pastel / la torta,0,0
Strawberries,Las fresas,0,0
Lemon,El limón,0,0
Mango,El mango,0,0
Apple,La manzana,0,0
Orange,La naranja,0,0
Pineapple,La piña,0,0
Banana,El plátano,0,0
Broccoli,El brócoli,0,0
Onion,La cebolla,0,0
Peppers,Los chiles,0,0
Lettuce,La lechuga,0,0
Corn,El maíz,0,0
Mushrooms,Los champiñones,0,0
Potatoes,Las papas,0,0
Cucumber,El pepino,0,0
Parsley,El perejil,0,0
Tomato,El tomate,0,0
Water,El agua,0,0
Beer,La cerveza,0,0
Juice,El jugo,0,0
Soda,El refresco,0,0
White wine,El vino blanco,0,0
Red wine,El vino tinto,0,0